,scientific_name,park_name,observations,category,common_names,conservation_status
0,Vicia benghalensis,Great Smoky Mountains National Park,68,Vascular Plant,"Purple Vetch, Reddish Tufted Vetch",
1,Vicia benghalensis,Yosemite National Park,148,Vascular Plant,"Purple Vetch, Reddish Tufted Vetch",
2,Vicia benghalensis,Yellowstone National Park,247,Vascular Plant,"Purple Vetch, Reddish Tufted Vetch",
3,Vicia benghalensis,Bryce National Park,104,Vascular Plant,"Purple Vetch, Reddish Tufted Vetch",
4,Neovison vison,Great Smoky Mountains National Park,77,Mammal,American Mink,
5,Neovison vison,Yellowstone National Park,218,Mammal,American Mink,
6,Neovison vison,Bryce National Park,91,Mammal,American Mink,
7,Neovison vison,Yosemite National Park,200,Mammal,American Mink,
8,Prunus subcordata,Yosemite National Park,138,Vascular Plant,Klamath Plum,
9,Prunus subcordata,Yellowstone National Park,217,Vascular Plant,Klamath Plum,
10,Prunus subcordata,Bryce National Park,91,Vascular Plant,Klamath Plum,
11,Prunus subcordata,Great Smoky Mountains National Park,72,Vascular Plant,Klamath Plum,
12,Abutilon theophrasti,Bryce National Park,84,Vascular Plant,Velvetleaf,
13,Abutilon theophrasti,Yosemite National Park,138,Vascular Plant,Velvetleaf,
14,Abutilon theophrasti,Great Smoky Mountains National Park,85,Vascular Plant,Velvetleaf,
15,Abutilon theophrasti,Yellowstone National Park,262,Vascular Plant,Velvetleaf,
16,Githopsis specularioides,Great Smoky Mountains National Park,85,Vascular Plant,Common Bluecup,
17,Githopsis specularioides,Yosemite National Park,134,Vascular Plant,Common Bluecup,
18,Githopsis specularioides,Bryce National Park,92,Vascular Plant,Common Bluecup,
19,Githopsis specularioides,Yellowstone National Park,216,Vascular Plant,Common Bluecup,
20,Elymus virginicus var. virginicus,Yosemite National Park,112,Vascular Plant,Virginia Wildrye,
21,Elymus virginicus var. virginicus,Yellowstone National Park,264,Vascular Plant,Virginia Wildrye,
22,Elymus virginicus var. virginicus,Bryce National Park,95,Vascular Plant,Virginia Wildrye,
23,Elymus virginicus var. virginicus,Great Smoky Mountains National Park,80,Vascular Plant,Virginia Wildrye,
24,Spizella pusilla,Yellowstone National Park,228,Bird,Field Sparrow,
25,Spizella pusilla,Yosemite National Park,148,Bird,Field Sparrow,
26,Spizella pusilla,Bryce National Park,92,Bird,Field Sparrow,
27,Spizella pusilla,Great Smoky Mountains National Park,72,Bird,Field Sparrow,
28,Elymus multisetus,Great Smoky Mountains National Park,39,Vascular Plant,"Big Squirreltail, Big Wild Rye",
29,Elymus multisetus,Yellowstone National Park,256,Vascular Plant,"Big Squirreltail, Big Wild Rye",
30,Elymus multisetus,Bryce National Park,114,Vascular Plant,"Big Squirreltail, Big Wild Rye",
31,Elymus multisetus,Yosemite National Park,137,Vascular Plant,"Big Squirreltail, Big Wild Rye",
32,Lysimachia quadrifolia,Yosemite National Park,168,Vascular Plant,Whorled Loosestrife,
33,Lysimachia quadrifolia,Great Smoky Mountains National Park,50,Vascular Plant,Whorled Loosestrife,
34,Lysimachia quadrifolia,Bryce National Park,119,Vascular Plant,Whorled Loosestrife,
35,Lysimachia quadrifolia,Yellowstone National Park,285,Vascular Plant,Whorled Loosestrife,
36,Diphyscium cumberlandianum,Yellowstone National Park,250,Nonvascular Plant,Cumberland Diphyscium Moss,
37,Diphyscium cumberlandianum,Yosemite National Park,123,Nonvascular Plant,Cumberland Diphyscium Moss,
38,Diphyscium cumberlandianum,Great Smoky Mountains National Park,51,Nonvascular Plant,Cumberland Diphyscium Moss,
39,Diphyscium cumberlandianum,Bryce National Park,93,Nonvascular Plant,Cumberland Diphyscium Moss,
40,Ludwigia peploides ssp. glabrescens,Bryce National Park,103,Vascular Plant,Floating Primrosewillow,
41,Ludwigia peploides ssp. glabrescens,Yosemite National Park,138,Vascular Plant,Floating Primrosewillow,
42,Ludwigia peploides ssp. glabrescens,Yellowstone National Park,294,Vascular Plant,Floating Primrosewillow,
43,Ludwigia peploides ssp. glabrescens,Great Smoky Mountains National Park,61,Vascular Plant,Floating Primrosewillow,
44,Cistothorus platensis,Bryce National Park,114,Bird,Sedge Wren,
45,Cistothorus platensis,Great Smoky Mountains National Park,65,Bird,Sedge Wren,
46,Cistothorus platensis,Yellowstone National Park,266,Bird,Sedge Wren,
47,Cistothorus platensis,Yosemite National Park,186,Bird,Sedge Wren,
48,Setaria viridis var. viridis,Bryce National Park,101,Vascular Plant,Green Bristlegrass,
49,Setaria viridis var. viridis,Yosemite National Park,152,Vascular Plant,Green Bristlegrass,
50,Setaria viridis var. viridis,Great Smoky Mountains National Park,76,Vascular Plant,Green Bristlegrass,
51,Setaria viridis var. viridis,Yellowstone National Park,253,Vascular Plant,Green Bristlegrass,
52,Arabis davidsonii,Yellowstone National Park,279,Vascular Plant,Davidson's Rockcress,
53,Arabis davidsonii,Great Smoky Mountains National Park,96,Vascular Plant,Davidson's Rockcress,
54,Arabis davidsonii,Yosemite National Park,109,Vascular Plant,Davidson's Rockcress,
55,Arabis davidsonii,Bryce National Park,103,Vascular Plant,Davidson's Rockcress,
56,Fabronia ciliaris,Great Smoky Mountains National Park,72,Nonvascular Plant,Fabronia Moss,
57,Fabronia ciliaris,Bryce National Park,111,Nonvascular Plant,Fabronia Moss,
58,Fabronia ciliaris,Yellowstone National Park,214,Nonvascular Plant,Fabronia Moss,
59,Fabronia ciliaris,Yosemite National Park,146,Nonvascular Plant,Fabronia Moss,
60,Lunaria annua,Great Smoky Mountains National Park,65,Vascular Plant,"Annual Honesty, Moneyplant",
61,Lunaria annua,Great Smoky Mountains National Park,65,Vascular Plant,Annual Honesty,
62,Lunaria annua,Great Smoky Mountains National Park,95,Vascular Plant,"Annual Honesty, Moneyplant",
63,Lunaria annua,Great Smoky Mountains National Park,95,Vascular Plant,Annual Honesty,
64,Lunaria annua,Yosemite National Park,130,Vascular Plant,"Annual Honesty, Moneyplant",
65,Lunaria annua,Yosemite National Park,130,Vascular Plant,Annual Honesty,
66,Lunaria annua,Bryce National Park,107,Vascular Plant,"Annual Honesty, Moneyplant",
67,Lunaria annua,Bryce National Park,107,Vascular Plant,Annual Honesty,
68,Lunaria annua,Yellowstone National Park,252,Vascular Plant,"Annual Honesty, Moneyplant",
69,Lunaria annua,Yellowstone National Park,252,Vascular Plant,Annual Honesty,
70,Lunaria annua,Bryce National Park,82,Vascular Plant,"Annual Honesty, Moneyplant",
71,Lunaria annua,Bryce National Park,82,Vascular Plant,Annual Honesty,
